AttMatriz;Iteradores;01/2020;02/2020;03/2020;04/2020;05/2020;06/2020;07/2020;08/2020;09/2020;10/2020;11/2020;12/2020;01/2021;02/2021;03/2021;04/2021;05/2021;06/2021;07/2021;08/2021;09/2021;10/2021;11/2021;12/2021;01/2022;02/2022;03/2022;04/2022;05/2022;06/2022;07/2022;08/2022;09/2022;10/2022;11/2022;12/2022;01/2023;02/2023;03/2023;04/2023;05/2023;06/2023;07/2023;08/2023;09/2023;10/2023;11/2023;12/2023;01/2024;02/2024;03/2024;04/2024;05/2024;06/2024;07/2024;08/2024;09/2024;10/2024;11/2024;12/2024;;
desagio_acumulado_horizonte_estudo;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
desagio_acumulado_horizonte_estudo;2;;0.980985347875;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
desagio_acumulado_horizonte_estudo;3;;;0.972215928316;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
desagio_acumulado_horizonte_estudo;4;;;;0.962928392775;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
desagio_acumulado_horizonte_estudo;5;;;;;0.954024940361;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
desagio_acumulado_horizonte_estudo;6;;;;;;0.944911182520;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
desagio_acumulado_horizonte_estudo;7;;;;;;;0.936174321283;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
desagio_acumulado_horizonte_estudo;8;;;;;;;;0.927231089612;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
desagio_acumulado_horizonte_estudo;9;;;;;;;;;0.918373292236;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
desagio_acumulado_horizonte_estudo;10;;;;;;;;;;0.909881806299;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
desagio_acumulado_horizonte_estudo;11;;;;;;;;;;;0.901189745854;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
desagio_acumulado_horizonte_estudo;12;;;;;;;;;;;;0.892857142851;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
desagio_acumulado_horizonte_estudo;13;;;;;;;;;;;;;0.884327718260;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
desagio_acumulado_horizonte_estudo;14;;;;;;;;;;;;;;0.875856741039;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
desagio_acumulado_horizonte_estudo;15;;;;;;;;;;;;;;;0.868275301993;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
desagio_acumulado_horizonte_estudo;16;;;;;;;;;;;;;;;;0.859958090905;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
desagio_acumulado_horizonte_estudo;17;;;;;;;;;;;;;;;;;0.851985041788;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
desagio_acumulado_horizonte_estudo;18;;;;;;;;;;;;;;;;;;0.843823875139;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
